=== Job started on Wed 29 Apr 23:29:16 WEST 2026 ===
Running on node(s): cnx027
Python executable: /projects/F202508983CPCAA0/jcorreia/work/react_selection_x86/bin/python
Python 3.12.3
sys.path ok, site: 
Embedder: smarts_transformer
FP output : data/processed/template_fingerprints_smarts_256.npy
Meta output: data/processed/template_metadata.parquet
23:29:50  INFO     === Template fingerprint pre-computation ===
23:29:50  INFO     Templates : /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:50  INFO     embedder=smarts_transformer
23:29:53  INFO     Loaded 361751 templates from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/data/processed/retrorules-merged.csv
23:29:53  INFO     Loading SMARTS transformer from /projects/F202508983CPCAA0/jcorreia/work/reaction_selection_pipeline/models/smarts_embedder
23:30:49  INFO     SMARTS transformer loaded  dim=256
01:30:33  INFO     Embedded 89000 / 361751  (24.6%)  ETA 22018s
01:31:38  INFO     Embedded 90000 / 361751  (24.9%)  ETA 21887s
01:34:10  INFO     Embedded 91000 / 361751  (25.2%)  ETA 22020s
01:35:25  INFO     Embedded 92000 / 361751  (25.4%)  ETA 21920s
01:36:40  INFO     Embedded 93000 / 361751  (25.7%)  ETA 21822s
01:37:49  INFO     Embedded 94000 / 361751  (26.0%)  ETA 21704s
01:39:34  INFO     Embedded 95000 / 361751  (26.3%)  ETA 21693s
01:40:53  INFO     Embedded 96000 / 361751  (26.5%)  ETA 21604s
01:42:38  INFO     Embedded 97000 / 361751  (26.8%)  ETA 21587s
01:44:13  INFO     Embedded 98000 / 361751  (27.1%)  ETA 21543s
01:45:12  INFO     Embedded 99000 / 361751  (27.4%)  ETA 21401s
01:47:58  INFO     Embedded 100000 / 361751  (27.6%)  ETA 21540s
01:49:47  INFO     Embedded 101000 / 361751  (27.9%)  ETA 21526s
01:50:59  INFO     Embedded 102000 / 361751  (28.2%)  ETA 21418s
01:53:51  INFO     Embedded 103000 / 361751  (28.5%)  ETA 21558s
01:54:57  INFO     Embedded 104000 / 361751  (28.7%)  ETA 21433s
